"school","class","gender","social","raven","id","english"
"9","1","boy","4",31,"243",70
"9","1","girl","1",33,"244",49
"9","1","girl","4",34,"245",74
"9","1","girl","3",34,"246",74
"9","1","girl","2",33,"247",88
"9","1","boy","1",35,"248",93
"9","1","boy","2",35,"249",62
"9","1","boy","2",31,"250",77
"9","2","boy","3",29,"251",38
"9","2","boy","4",34,"252",36
"9","2","boy","4",32,"254",66
"9","2","boy","2",30,"255",55
"9","2","girl","5",28,"256",45
"9","2","boy","1",36,"257",52
"9","2","girl","8",31,"258",33
"9","2","boy","2",35,"259",74
"9","2","girl","2",34,"260",61
"9","2","girl","3",29,"261",64
"9","2","girl","4",26,"262",33
"9","3","boy","1",28,"263",32
"9","3","boy","1",20,"264",12
"11","1","boy","3",21,"280",34
"11","1","boy","3",19,"284",57
"11","1","boy","4",12,"285",19
"11","2","girl","3",23,"287",35
"11","2","boy","3",21,"288",35
"11","2","girl","9",21,"289",11
"11","2","girl","3",19,"290",31
"11","2","girl","4",25,"291",40
"11","2","boy","8",24,"292",7
"11","2","boy","4",31,"293",33
"11","2","boy","6",20,"295",8
"12","1","girl","4",22,"296",29
"12","1","boy","4",19,"297",14
"12","1","girl","4",28,"298",78
"12","1","boy","5",18,"299",49
"12","2","boy","1",34,"300",85
"12","2","girl","7",20,"303",38
"12","2","girl","2",35,"305",78
"12","2","girl","4",35,"306",78
"12","3","boy","3",23,"307",39
"12","3","girl","8",29,"308",30
"12","3","girl","3",32,"309",53
"12","3","girl","6",24,"310",52
"12","3","boy","7",29,"311",25
"12","4","boy","1",25,"313",10
"12","4","girl","5",24,"316",64
"12","4","girl","4",27,"317",62
"12","4","girl","3",24,"318",54
"12","4","boy","4",15,"319",5
"12","4","boy","4",19,"320",21
"12","4","boy","4",27,"321",31
"12","4","girl","4",29,"322",56
"12","4","boy","4",15,"323",9
"12","4","girl","9",24,"324",43
"13","1","boy","9",33,"326",80
"13","1","girl","4",31,"327",47
"13","1","girl","5",27,"328",66
"13","1","girl","4",29,"330",79
"13","1","boy","9",24,"331",69
"13","1","girl","4",30,"332",55
"13","1","boy","4",22,"333",32
"13","1","boy","9",26,"334",60
"13","1","girl","4",16,"336",16
"13","1","boy","4",28,"337",39
"13","1","boy","9",19,"338",42
"13","1","girl","4",18,"339",59
"13","1","girl","2",28,"340",37
"13","1","girl","2",25,"341",52
"13","1","boy","5",30,"342",43
"13","1","girl","4",21,"343",33
"13","2","boy","4",19,"347",23
"13","2","boy","2",21,"348",19
"13","2","girl","5",12,"349",24
"13","2","boy","6",22,"350",17
"13","2","girl","2",28,"351",52
"13","2","boy","4",15,"352",8
"14","1","boy","7",22,"355",36
"14","1","girl","9",21,"356",24
"14","1","girl","4",25,"357",35
"14","1","girl","9",25,"358",13
"14","1","girl","7",20,"359",18
"14","1","girl","9",16,"361",22
"14","1","boy","4",27,"362",8
"14","1","boy","4",18,"363",20
"14","1","boy","5",27,"364",13
"14","1","boy","9",33,"365",53
"14","1","boy","9",31,"366",59
"14","1","boy","9",25,"367",25
"14","1","boy","9",20,"368",9
"15","1","girl","1",35,"372",84
"15","1","boy","4",32,"373",52
"15","1","girl","2",36,"375",92
"15","1","girl","9",27,"376",53
"15","1","boy","9",34,"380",50
"15","2","girl","2",34,"384",92
"15","2","girl","4",24,"391",44
"16","1","boy","4",23,"397",40
"16","1","girl","4",22,"398",30
"16","1","boy","6",21,"400",49
"16","1","girl","4",21,"402",46
"16","1","girl","9",18,"404",20
"16","1","girl","6",20,"405",30
"16","1","girl","9",23,"406",24
"16","1","boy","3",27,"407",53
"16","1","girl","9",25,"408",71
"16","1","boy","5",26,"410",27
"16","1","boy","4",19,"411",17
"16","1","girl","4",15,"412",21
"16","1","boy","6",22,"413",14
"16","1","boy","4",25,"414",16
"16","2","boy","6",20,"415",25
"16","2","boy","9",26,"416",48
"17","1","boy","2",33,"417",92
"17","1","girl","4",28,"420",32
"17","1","girl","8",31,"421",73
"17","2","girl","4",25,"426",18
"17","2","girl","9",31,"429",62
"17","2","boy","9",16,"430",10
"18","1","boy","3",30,"436",54
"18","1","boy","9",10,"437",21
"18","1","boy","4",17,"438",21
"18","1","boy","4",28,"439",27
"18","1","girl","4",30,"440",40
"18","1","girl","1",34,"441",74
"18","1","girl","9",26,"442",18
"18","1","boy","9",19,"443",18
"18","1","girl","4",23,"444",16
"18","1","girl","4",17,"445",39
"18","1","boy","3",25,"446",78
"18","1","girl","5",19,"447",44
"18","1","girl","4",23,"448",36
"18","1","girl","4",31,"449",80
"18","1","girl","6",31,"450",40
"18","1","girl","9",26,"451",31
"18","1","boy","8",24,"452",43
"18","1","boy","5",31,"453",32
"19","1","girl","4",22,"455",29
"19","1","boy","5",21,"456",33
"19","1","boy","5",21,"457",53
"19","1","boy","2",33,"458",72
"19","1","boy","9",32,"459",45
"19","1","boy","5",22,"460",69
"19","1","girl","5",17,"461",51
"19","1","boy","5",25,"462",33
"19","1","girl","1",27,"464",51
"19","2","girl","5",22,"467",48
"19","2","girl","5",34,"468",40
"19","2","girl","5",36,"469",61
"19","2","girl","5",34,"470",26
"19","2","boy","5",19,"471",52
"20","1","boy","6",31,"472",38
"20","1","boy","4",23,"473",11
"20","1","girl","7",29,"475",40
"20","1","girl","2",35,"476",93
"20","1","boy","3",34,"477",46
"20","1","boy","6",24,"478",25
"20","1","girl","4",26,"479",44
"20","2","boy","9",26,"480",19
"20","2","boy","9",27,"482",61
"20","2","girl","9",20,"484",28
"20","2","girl","7",27,"487",37
"20","2","boy","3",29,"489",33
"20","2","boy","9",31,"491",37
"21","1","girl","5",27,"492",61
"21","1","boy","4",24,"494",70
"21","1","girl","3",30,"495",53
"21","1","boy","9",30,"496",54
"21","1","boy","1",22,"497",24
"21","1","girl","9",21,"498",39
"21","1","boy","6",25,"499",60
"21","1","girl","6",19,"501",45
"21","1","girl","4",23,"502",23
"21","1","boy","4",34,"503",66
"21","1","boy","4",25,"504",28
"21","1","boy","6",21,"505",33
"21","1","girl","4",29,"506",28
"21","1","girl","4",35,"507",73
"21","2","boy","9",30,"508",7
"21","2","boy","4",14,"509",25
"21","2","boy","9",22,"512",14
"21","2","boy","6",25,"514",26
"21","2","girl","6",25,"515",34
"21","2","boy","4",27,"516",34
"21","2","girl","4",28,"517",48
"21","2","boy","1",32,"518",49
"21","2","girl","4",23,"519",21
"21","2","boy","9",33,"520",16
"21","2","boy","4",30,"521",31
"21","2","boy","4",31,"522",67
"21","2","boy","6",26,"523",28
"21","2","girl","9",27,"524",42
"22","1","boy","7",20,"526",1
"22","1","boy","7",26,"527",50
"22","1","girl","6",24,"529",37
"22","1","girl","3",35,"530",80
"22","1","boy","4",30,"531",15
"22","1","boy","3",29,"532",48
"22","1","girl","3",31,"533",39
"22","1","boy","7",25,"534",33
"22","2","girl","9",24,"536",51
"22","2","boy","4",27,"537",37
"22","2","boy","4",23,"538",12
"22","2","boy","8",29,"539",8
"22","2","boy","5",16,"540",27
"22","2","boy","4",25,"541",28
"23","1","girl","7",12,"543",6
"23","1","girl","4",31,"545",74
"23","1","boy","3",26,"546",22
"23","1","boy","4",25,"548",26
"23","1","boy","7",19,"549",11
"23","1","girl","7",25,"550",51
"23","1","boy","6",31,"551",45
"23","1","boy","9",25,"552",32
"23","1","boy","4",22,"553",36
"23","1","boy","5",27,"554",76
"23","2","girl","7",23,"555",15
"23","2","boy","8",15,"556",40
"23","2","boy","9",24,"558",33
"23","2","boy","7",14,"559",3
"23","2","girl","7",28,"560",40
"23","2","boy","2",36,"561",74
"23","2","boy","3",28,"563",54
"23","2","girl","4",27,"564",24
"24","1","girl","9",20,"565",45
"24","1","boy","2",23,"566",44
"24","1","girl","4",11,"567",31
"24","1","boy","9",29,"568",18
"24","1","boy","4",22,"569",18
"24","1","boy","3",24,"570",51
"24","1","girl","2",21,"571",69
"24","1","boy","4",36,"572",44
"24","1","boy","5",23,"573",23
"24","1","boy","9",26,"574",58
"24","1","girl","4",30,"576",66
"24","1","boy","4",22,"577",51
"24","1","girl","9",32,"578",74
"24","1","girl","2",32,"579",77
"24","1","girl","4",28,"580",36
"24","1","girl","4",22,"582",17
"24","1","girl","4",21,"583",46
"24","1","girl","5",24,"584",41
"24","1","boy","4",24,"585",48
"24","1","girl","4",23,"586",34
"24","1","girl","4",32,"587",55
"25","1","girl","9",16,"589",30
"25","1","girl","6",23,"591",47
"25","1","boy","9",20,"592",24
"25","1","boy","9",35,"594",71
"25","1","girl","2",22,"597",48
"25","1","girl","9",34,"598",82
"25","1","girl","1",31,"599",85
"25","1","boy","4",32,"600",8
"25","1","boy","3",4,"601",18
"25","1","boy","5",26,"603",6
"25","1","boy","9",23,"605",32
"25","1","boy","1",27,"610",55
"25","1","boy","9",30,"612",32
"25","1","boy","6",16,"613",36
"26","1","girl","6",29,"615",39
"26","1","girl","4",22,"617",12
"26","1","boy","4",32,"618",13
"26","1","boy","4",22,"620",38
"26","1","boy","4",19,"621",42
"26","1","boy","4",26,"622",36
"26","1","boy","4",26,"624",8
"26","1","girl","4",27,"625",47
"26","1","girl","5",28,"626",40
"26","1","boy","4",24,"627",29
"26","1","girl","4",30,"628",43
"26","1","girl","4",24,"633",22
"26","1","girl","4",14,"634",61
"26","2","boy","4",23,"635",44
"26","2","girl","4",26,"637",48
"26","2","girl","4",19,"639",35
"26","2","boy","4",30,"640",53
"26","2","boy","7",33,"641",68
"26","2","boy","9",27,"642",34
"26","2","boy","4",14,"643",15
"27","1","girl","2",21,"644",25
"27","1","boy","4",25,"646",7
"27","1","boy","4",23,"647",15
"27","1","girl","6",28,"648",22
"27","1","boy","2",23,"649",15
"27","1","girl","5",14,"650",23
"27","1","boy","4",28,"651",36
"27","1","boy","4",19,"652",9
"27","1","girl","2",24,"654",51
"27","1","boy","3",20,"655",22
"27","1","boy","4",24,"656",21
"27","2","girl","6",23,"659",43
"27","2","boy","3",24,"660",33
"27","2","boy","4",26,"661",38
"27","2","girl","6",25,"663",8
"27","2","girl","2",25,"664",31
"27","2","girl","4",28,"665",65
"27","2","girl","7",26,"666",27
"27","2","boy","4",23,"667",19
"27","2","girl","5",34,"668",62
"27","2","boy","4",26,"669",54
"27","2","boy","6",30,"671",46
"28","1","girl","6",22,"672",4
"28","1","girl","5",22,"673",6
"28","1","girl","4",24,"677",14
"28","1","girl","7",22,"678",10
"28","1","boy","7",25,"679",16
"28","1","girl","5",23,"680",39
"28","2","girl","9",28,"683",13
"28","2","boy","7",19,"684",12
"28","2","girl","2",24,"686",29
"28","2","girl","3",19,"688",19
"28","2","boy","1",21,"689",20
"28","2","boy","4",20,"690",18
"28","2","boy","5",15,"691",57
"28","2","girl","4",23,"692",43
"28","2","girl","1",31,"694",92
"29","1","boy","6",30,"696",15
"29","1","boy","4",19,"697",4
"29","1","girl","4",32,"699",49
"29","1","girl","4",30,"701",24
"29","1","girl","2",33,"703",54
"29","1","boy","4",24,"707",15
"29","1","girl","4",24,"708",28
"29","1","boy","2",33,"709",54
"29","1","boy","4",33,"711",44
"29","1","boy","6",16,"713",0
"29","1","boy","4",34,"714",22
"29","1","girl","2",31,"715",18
"29","1","boy","4",33,"716",20
"30","1","girl","3",24,"725",76
"30","1","girl","3",23,"726",58
"30","1","boy","2",26,"727",67
"30","1","boy","4",18,"728",11
"30","1","girl","9",32,"731",66
"30","1","girl","4",19,"732",47
"30","1","girl","4",29,"734",56
"30","1","boy","4",18,"735",78
"30","1","girl","4",23,"736",52
"30","1","boy","2",22,"737",9
"30","1","boy","4",18,"738",19
"30","1","girl","9",24,"739",90
"30","2","boy","3",18,"740",56
"30","2","girl","4",34,"744",78
"30","2","girl","9",19,"746",62
"30","2","girl","4",24,"747",31
"30","2","girl","4",23,"748",78
"30","2","girl","3",29,"749",28
"30","2","girl","8",21,"751",59
"30","2","girl","4",27,"752",43
"30","2","boy","7",22,"753",33
"30","2","girl","2",24,"754",82
"30","2","girl","2",25,"755",80
"30","2","boy","3",17,"756",51
"30","2","boy","2",27,"758",56
"30","2","girl","4",18,"760",12
"30","2","boy","4",26,"762",43
"31","1","boy","4",30,"764",73
"31","1","boy","2",34,"765",86
"31","1","boy","2",26,"766",72
"31","1","boy","1",31,"768",75
"31","1","girl","4",26,"770",66
"31","1","girl","4",26,"772",44
"31","1","girl","2",25,"773",56
"31","1","boy","2",35,"774",61
"31","1","boy","2",33,"775",76
"31","1","girl","5",21,"776",37
"31","1","girl","6",18,"777",29
"31","1","girl","4",22,"779",54
"31","1","boy","3",22,"780",50
"31","1","boy","4",23,"781",38
"31","1","boy","4",20,"782",47
"31","1","girl","8",29,"783",58
"31","1","boy","5",32,"784",53
"31","1","boy","5",25,"785",49
"31","2","boy","2",33,"786",97
"31","2","boy","4",23,"787",47
"31","2","girl","3",30,"788",77
"31","2","girl","3",32,"789",95
"31","2","girl","2",29,"790",66
"31","2","girl","2",34,"791",85
"31","2","boy","2",36,"793",83
"31","2","boy","2",35,"794",70
"31","2","boy","3",26,"796",85
"31","2","boy","3",34,"797",93
"31","2","boy","2",28,"798",54
"31","2","girl","4",27,"799",43
"31","2","girl","3",19,"800",41
"31","2","boy","9",32,"801",76
"31","2","girl","4",26,"802",38
"31","2","girl","9",12,"803",37
"31","3","boy","9",34,"804",85
"32","1","girl","4",12,"805",24
"32","1","girl","2",33,"806",75
"32","1","girl","9",23,"807",51
"32","1","girl","5",27,"808",51
"32","1","girl","3",31,"809",72
"32","1","girl","2",22,"810",40
"32","1","girl","2",28,"811",74
"32","1","girl","9",22,"812",22
"32","1","girl","4",20,"813",21
"32","1","girl","4",22,"814",80
"32","1","girl","2",28,"815",77
"32","1","girl","4",18,"816",54
"32","1","girl","5",19,"817",25
"32","1","girl","4",33,"818",66
"32","1","girl","4",19,"820",32
"32","1","girl","9",22,"822",54
"32","1","girl","1",19,"823",50
"32","1","girl","2",32,"824",59
"32","1","girl","2",14,"825",25
"32","1","girl","4",22,"826",45
"32","1","girl","2",13,"828",26
"32","1","girl","5",23,"829",25
"32","1","girl","5",17,"830",33
"33","1","girl","4",32,"831",46
"33","1","girl","6",23,"832",17
"33","1","boy","7",26,"833",34
"33","1","boy","4",16,"834",15
"33","1","boy","4",24,"835",45
"33","1","girl","3",23,"836",57
"33","1","boy","9",22,"837",16
"33","1","boy","4",24,"838",67
"33","1","boy","4",23,"841",28
"33","1","girl","4",29,"842",87
"33","1","girl","5",11,"843",23
"33","1","girl","9",18,"844",23
"33","1","boy","6",14,"845",31
"33","1","girl","6",21,"847",30
"33","1","boy","4",25,"848",41
"33","1","boy","3",27,"849",67
"33","1","girl","4",22,"850",45
"33","1","boy","6",24,"851",47
"33","1","girl","6",30,"852",37
"33","1","girl","2",24,"853",63
"33","1","boy","2",18,"854",37
"33","1","boy","4",31,"856",60
"33","1","girl","3",16,"857",62
"33","1","girl","5",31,"858",95
"33","2","boy","4",34,"859",68
"33","2","girl","4",28,"860",28
"33","2","girl","4",23,"861",25
"33","2","boy","4",24,"862",18
"33","2","girl","4",34,"863",77
"33","2","boy","6",35,"864",54
"33","2","boy","9",35,"865",53
"33","2","boy","4",31,"866",53
"33","2","girl","4",30,"867",78
"33","2","boy","4",18,"868",71
"33","2","boy","3",30,"869",51
"33","2","boy","4",32,"870",61
"33","2","girl","5",32,"871",66
"33","2","girl","2",36,"872",95
"33","2","boy","2",32,"873",39
"33","2","boy","2",24,"874",57
"33","2","girl","4",29,"875",72
"33","2","girl","4",34,"876",72
"33","2","girl","2",14,"877",54
"33","2","girl","6",36,"878",89
"34","1","boy","2",19,"879",46
"34","1","girl","3",28,"881",63
"34","1","girl","4",15,"882",13
"34","1","boy","5",28,"883",42
"34","1","girl","5",21,"884",61
"34","1","girl","4",28,"885",70
"34","1","girl","4",28,"886",73
"34","1","girl","4",30,"887",67
"34","1","girl","3",28,"891",48
"34","1","girl","9",29,"892",81
"34","1","boy","4",26,"893",75
"34","1","girl","4",23,"894",41
"34","1","boy","2",20,"895",38
"34","2","girl","2",20,"898",41
"34","2","girl","4",30,"900",56
"34","2","girl","4",18,"904",18
"34","2","boy","4",26,"905",72
"34","2","girl","4",23,"906",45
"34","2","boy","6",24,"907",25
"34","2","girl","4",21,"908",34
"34","2","girl","4",21,"910",89
"34","2","boy","3",28,"911",48
"34","2","girl","2",19,"912",26
"34","2","girl","4",20,"913",60
"34","3","girl","2",24,"916",60
"34","3","boy","4",25,"917",24
"34","3","girl","4",26,"918",25
"35","1","girl","2",31,"919",58
"35","1","girl","8",25,"920",70
"35","1","girl","2",28,"922",62
"35","1","boy","4",24,"923",60
"35","1","girl","2",34,"925",87
"35","1","boy","5",28,"926",50
"35","1","girl","2",25,"927",67
"35","1","boy","2",25,"929",33
"35","1","girl","5",25,"930",60
"35","1","girl","9",32,"931",88
"35","1","girl","2",24,"934",25
"35","1","boy","2",28,"935",27
"35","1","girl","2",22,"937",5
"35","2","girl","2",27,"939",45
"35","2","girl","1",35,"942",69
"35","2","boy","9",21,"943",31
"36","2","boy","7",28,"948",44
"36","2","girl","4",28,"949",42
"36","2","boy","9",28,"950",73
"36","2","girl","4",22,"951",49
"36","2","girl","5",23,"952",40
"36","2","boy","4",24,"953",72
"36","2","girl","3",28,"955",66
"36","2","girl","4",32,"956",71
"36","3","girl","2",34,"958",76
"36","3","girl","4",22,"960",35
"36","3","boy","4",34,"961",63
"36","3","boy","4",30,"962",64
"36","3","boy","3",21,"963",17
"36","3","girl","4",32,"964",41
"36","3","boy","4",31,"965",61
"36","4","girl","4",28,"968",63
"36","4","boy","4",19,"969",43
"36","4","boy","9",28,"970",39
"36","4","girl","2",34,"971",98
"36","4","boy","3",25,"972",45
"36","4","boy","4",27,"973",58
"36","4","girl","1",24,"974",36
"36","4","girl","1",27,"975",68
"36","4","girl","5",30,"976",48
"36","4","girl","9",22,"977",64
"36","4","girl","5",22,"978",60
"36","4","girl","4",35,"979",94
"36","4","boy","9",20,"980",31
"37","1","boy","4",31,"981",43
"37","1","girl","4",18,"982",43
"37","1","girl","4",30,"983",37
"37","1","girl","4",25,"984",52
"37","1","girl","1",22,"986",69
"37","1","boy","3",31,"987",75
"37","1","boy","9",23,"988",43
"37","1","girl","2",21,"989",59
"37","1","girl","4",26,"990",87
"37","1","boy","4",28,"992",80
"37","1","girl","4",14,"994",44
"37","1","girl","2",27,"995",35
"37","1","girl","2",32,"996",59
"37","1","boy","4",30,"997",34
"37","1","girl","4",27,"998",80
"37","1","boy","2",29,"999",41
"37","1","boy","4",25,"1000",30
"38","1","boy","3",23,"1003",48
"38","1","girl","5",16,"1004",62
"38","1","boy","9",16,"1005",37
"38","1","boy","5",23,"1006",39
"38","1","boy","6",28,"1007",36
"38","1","boy","9",20,"1008",56
"38","1","girl","5",13,"1010",35
"38","1","girl","4",15,"1011",41
"38","1","girl","4",18,"1012",34
"38","1","boy","4",22,"1013",41
"38","1","boy","2",24,"1014",38
"38","1","boy","4",30,"1016",32
"39","1","girl","2",21,"1017",43
"39","1","girl","4",28,"1018",11
"39","1","girl","2",27,"1019",21
"39","1","girl","8",32,"1020",62
"39","1","boy","5",32,"1021",44
"39","1","girl","4",23,"1022",48
"39","1","boy","4",30,"1023",50
"39","1","boy","4",31,"1024",66
"39","2","girl","2",32,"1025",57
"39","2","boy","4",28,"1026",28
"39","2","girl","4",28,"1028",33
"39","2","girl","6",27,"1029",60
"39","2","girl","4",24,"1030",35
"39","2","boy","9",24,"1031",8
"40","1","girl","4",30,"1035",42
"40","1","girl","5",24,"1036",35
"40","1","girl","2",12,"1037",37
"40","1","girl","4",29,"1038",51
"40","1","boy","4",31,"1039",21
"40","1","boy","5",12,"1040",5
"40","1","girl","4",21,"1041",6
"40","1","girl","4",6,"1043",5
"40","1","boy","4",26,"1045",10
"40","1","girl","2",35,"1047",26
"41","1","girl","7",22,"1053",48
"41","1","girl","9",31,"1054",71
"41","1","boy","5",33,"1055",33
"41","1","boy","3",23,"1056",56
"41","1","girl","4",31,"1057",81
"41","1","girl","6",15,"1058",40
"41","1","girl","4",14,"1060",50
"41","1","girl","4",19,"1061",59
"41","1","girl","1",32,"1062",76
"41","1","girl","3",29,"1063",78
"42","1","boy","6",21,"1065",53
"42","1","boy","9",15,"1066",20
"42","1","girl","6",26,"1067",36
"42","1","boy","4",25,"1068",27
"42","1","boy","7",27,"1069",17
"42","1","girl","9",21,"1070",7
"42","1","boy","4",15,"1071",22
"42","1","boy","4",23,"1072",63
"42","1","boy","9",22,"1074",42
"42","1","boy","4",24,"1075",18
"42","1","boy","9",23,"1076",6
"42","1","girl","9",20,"1077",27
"42","1","boy","4",30,"1078",73
"42","1","girl","2",29,"1080",11
"42","1","boy","4",24,"1081",55
"42","2","girl","9",24,"1082",28
"42","2","girl","9",20,"1083",41
"42","2","boy","9",25,"1084",8
"42","2","girl","4",18,"1085",8
"42","2","boy","5",20,"1087",11
"42","2","girl","4",26,"1088",41
"42","2","girl","4",26,"1090",59
"42","2","boy","5",25,"1091",20
"42","2","girl","4",16,"1092",10
"42","2","boy","4",30,"1093",64
"42","2","boy","6",27,"1095",36
"42","3","boy","4",22,"1098",8
"42","3","boy","4",31,"1100",21
"42","3","girl","7",21,"1101",32
"42","3","boy","9",15,"1102",39
"42","3","girl","4",15,"1103",16
"42","3","boy","4",23,"1104",40
"42","3","girl","6",26,"1105",50
"42","3","boy","4",16,"1106",18
"42","3","girl","9",27,"1108",37
"42","3","girl","7",19,"1109",14
"42","3","girl","4",21,"1110",11
"42","3","boy","2",14,"1111",19
"42","3","girl","5",19,"1112",9
"42","3","girl","6",29,"1113",38
"42","3","girl","9",22,"1114",25
"44","1","girl","5",32,"1148",58
"44","1","girl","4",28,"1151",49
"44","1","girl","4",34,"1153",78
"44","1","boy","9",29,"1155",41
"44","1","boy","6",16,"1156",34
"45","1","boy","6",22,"1161",6
"45","1","girl","3",19,"1162",44
"45","1","girl","4",14,"1163",11
"45","1","girl","3",22,"1165",52
"45","1","boy","4",23,"1168",18
"45","1","boy","2",33,"1170",82
"45","1","girl","4",27,"1171",63
"45","1","boy","9",28,"1174",22
"45","1","boy","4",19,"1175",0
"45","1","girl","7",17,"1176",17
"45","1","boy","3",30,"1177",35
"46","1","girl","2",30,"1179",72
"46","1","girl","4",29,"1180",53
"46","1","boy","9",26,"1181",19
"46","1","boy","4",27,"1182",66
"46","1","boy","9",21,"1183",41
"46","1","girl","5",29,"1185",40
"46","1","boy","4",35,"1187",56
"46","1","girl","9",27,"1189",50
